sreg_expr,treg_expr,foreg_expr,fireg_expr,sireg_expr,freg_expr
5164281,12,75640,7,481.6,138
0733395,16,06264,7,392.0,019
2989265,06,98244,4,108.7,864
2445185,47,33201,2,582.3,216
4843613,69,01397,9,494.9,280
2721293,22,80364,0,602.9,540
9335074,04,59223,7,715.4,077
4754726,50,82779,9,439.1,867
3945587,79,73955,9,344.4,417
7114089,17,90625,5,527.4,540
2036694,74,43328,3,274.6,222
2798923,72,82071,9,23.8,581
1766779,47,34307,6,846.3,739
8186624,38,47879,4,936.8,185
6059840,49,35839,3,297.4,518
2451510,86,59430,7,595.1,041
7440851,80,57336,6,661.2,529
4667894,15,39103,1,349.3,288
3408373,86,00272,6,747.4,531
2939456,88,35576,1,947.9,881
0355530,74,23495,3,531.9,541
2917365,89,96021,7,5.7,894
5101209,55,45967,1,272.3,174
0966948,25,56882,6,442.8,407
2469363,11,31632,3,537.8,984
6440230,34,78680,4,440.6,464
4644863,34,51075,7,481.0,995
2496195,82,42334,0,545.7,223
0621643,93,49565,6,748.2,022
1970930,88,49769,3,392.8,538
1137372,95,76232,3,115.4,113
1900753,67,60610,7,565.6,681
0745863,45,97812,7,895.3,461
4495997,57,10850,9,801.5,581
9775828,83,35952,1,459.2,855
0627358,86,53859,6,3.8,403
6485401,10,07286,3,672.9,335
9990531,70,87448,1,343.3,151
9650147,02,42934,6,498.9,096
7558734,35,71398,4,344.4,444
2521197,98,74405,1,142.5,828
0207198,28,60025,7,704.8,200
2046334,80,42935,1,156.2,566
9757040,51,82495,4,27.6,713
2123197,74,21655,7,72.6,768
3462226,14,11096,4,416.2,830
0437716,48,73544,7,632.5,579
9024352,96,37249,3,186.9,085
1449839,78,82262,4,574.0,423
6504151,62,77066,0,372.8,123
2019510,12,29424,8,187.5,821
8711357,57,93566,9,724.7,074
4758297,87,08032,5,827.3,977
7187367,15,17026,8,453.2,208
1180285,61,14190,6,282.4,205
7807067,98,74300,4,227.6,837
2209684,12,65517,4,333.9,773
8259199,80,12000,3,477.6,224
0976796,74,03335,7,452.1,007
5870586,87,21352,2,693.8,786
6553625,89,03583,9,810.0,058
2987913,92,70677,7,28.7,696
7342445,01,82186,5,694.2,145
2529329,14,28130,2,877.2,941
2939473,06,94258,1,29.5,221
7554130,72,02699,5,646.3,477
4918536,58,13611,8,71.6,557
8691773,13,56380,3,672.0,753
5933533,97,73626,7,687.4,091
8024269,88,38520,8,556.4,190
5650388,67,53615,7,739.1,083
0396485,96,49203,0,721.4,802
5295279,27,51973,9,358.9,744
0303243,02,07492,0,920.9,388
4890297,60,76837,7,49.8,607
1552603,48,08047,1,140.0,790
4026955,92,49289,2,399.5,620
6904509,15,84111,7,891.5,824
2944161,86,53785,8,810.8,339
3457599,97,15196,4,857.5,647
7682180,51,12993,4,607.8,821
6312337,74,88670,6,809.1,404
7646527,85,30880,7,19.7,211
0069546,83,41674,8,738.4,961
3788781,98,55711,8,542.4,567
2089920,01,05558,6,3.5,304
2237468,91,51885,0,923.4,197
0877017,79,70858,0,232.5,092
3355980,59,27911,4,543.4,793
7071336,76,15499,8,573.1,812
4808680,33,73912,0,97.8,551
3819341,79,73491,2,133.4,672
0470082,88,89990,8,496.4,020
8128908,94,17115,0,314.6,317
1293728,21,11816,9,402.1,545
2556834,55,39430,1,170.7,591
2745503,67,26629,8,336.0,773
6062419,03,28188,0,825.1,230
3821164,61,29933,5,300.4,230
9224969,63,33459,1,845.7,602
