firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar
5844.85,47,77,7894846044.9,224415.7511,1,4349400.514,108.6449
4032.5,-886,26,1389362716.0,638988.251,2,10413780.306,110.16056
7709.32,-1342,33,8437037075.3,313873.8465,3,4043473.204,-72.90722
3066.03,-1430,99,9470731226.4,730794.6897,4,10004706.514,119.69004
421.98,-1499,37,2427724494.7,990054.9819,5,3440835.655,-0.8362
2567.69,-1344,83,11240696677.5,654550.5244,6,9405877.861,130.35805
2190.31,-1287,41,3391390877.9,192071.4066,7,4874111.055,-76.5225
5826.79,-1948,57,6286123314.0,392767.4464,8,8741025.907,179.20094
9073.77,168,47,7756483911.2,614106.487,9,4113586.059,133.08322
300.28,-1452,11,669642488.5,1125398.4142,10,11293736.369,110.5852
4936.2,878,53,7772537956.8,747386.5676,11,11781923.292,107.8842
2423.32,-1264,45,10638342815.2,265714.8107,12,9030917.046,-71.96734
5315.7,-305,62,5340596863.7,750563.1398,13,3675664.864,-5.5587
3855.77,-128,56,5791609600.5,1121949.4114,14,1964798.443,119.2014
5506.44,-1972,27,10308841067.5,810296.1939,15,8473340.011,106.0531
2978.62,521,91,9000458897.3,866797.1988,16,11057516.057,18.89921
7805.87,-196,97,6050035308.9,706624.0014,17,4443341.065,34.15
4147.84,734,67,3243341415.2,610528.6371,18,11359632.481,68.78186
1724.6,288,72,783198198.1,700403.9655,19,11615504.876,36.57271
5059.7,337,12,6711793869.7,737150.833,20,2967076.806,108.97641
6099.6,-1348,84,11675145482.0,509810.714,21,7771663.926,123.6461
1533.28,697,27,2834177938.1,861920.1895,22,9199795.695,28.84641
3995.25,-1073,77,12182072162.0,345293.4352,23,12249027.548,108.2349
4064.84,402,59,473017074.2,429136.5412,24,8804455.06,21.06513
4460.82,-1942,36,8854848347.1,874600.8887,25,8595016.745,120.6519
2820.38,-2042,79,11418878854.1,874884.579,26,5355410.578,115.83897
6531.31,873,17,649580518.5,985819.4449,27,8517809.281,124.0005
1862.71,-1254,60,11815902091.1,650135.1082,28,11165652.91,18.0649
5875.28,431,98,2375972222.6,817501.7778,29,9800461.684,115.75479
6082.88,-288,27,7663594487.0,693255.9741,30,10902234.477,6.84904
2351.4,-715,90,5896467105.1,426788.8987,31,10026857.677,12.57159
